V_TRI_FORM_R_EZ.ACCURACY_SCORE,V_TRI_FORM_R_EZ.ACTIVE_DATE,V_TRI_FORM_R_EZ.ACTIVE_STATUS,V_TRI_FORM_R_EZ.AIR_TOTAL_RELEASE,V_TRI_FORM_R_EZ.CHEM_NAME,V_TRI_FORM_R_EZ.CHEM_PROCESSING_AID,V_TRI_FORM_R_EZ.CITY_NAME,V_TRI_FORM_R_EZ.DISP_LANDFILL_SURF_IMP,V_TRI_FORM_R_EZ.DISP_LAND_TREATMENT,V_TRI_FORM_R_EZ.DISP_OTHER_LAND_DISP,V_TRI_FORM_R_EZ.EST_ANNUAL_REDUCT_2,V_TRI_FORM_R_EZ.FACILITY_NAME,V_TRI_FORM_R_EZ.FAC_CLOSED_IND,V_TRI_FORM_R_EZ.GENERIC_CHEM_NAME,V_TRI_FORM_R_EZ.IMPORTED,V_TRI_FORM_R_EZ.LANDF_8795_RELEASE_NA,V_TRI_FORM_R_EZ.LANDF_8795_RELEASE_RANGE_CODE,V_TRI_FORM_R_EZ.LANDF_8795_TOT_REL,V_TRI_FORM_R_EZ.LAND_TOTAL_RELEASE,V_TRI_FORM_R_EZ.LAND_TREA_BASIS_EST_CODE,V_TRI_FORM_R_EZ.LAND_TREA_RELEASE_RANGE_CODE,V_TRI_FORM_R_EZ.LAND_TREA_TOT_REL,LATITUDE,LONGITUDE,V_TRI_FORM_R_EZ.OFF_SITE_CITY_1,V_TRI_FORM_R_EZ.OFF_SITE_CITY_3,V_TRI_FORM_R_EZ.OFF_SITE_CITY_4,V_TRI_FORM_R_EZ.ONS_WASTESTREAM_CODE_9,V_TRI_FORM_R_EZ.OTH_DISP_TOT_REL,V_TRI_FORM_R_EZ.OTH_LANDF_BASIS_EST_CODE,V_TRI_FORM_R_EZ.OTH_LANDF_RELEASE_NA,V_TRI_FORM_R_EZ.SOURCE,V_TRI_FORM_R_EZ.TRI_CHEM_ID,V_TRI_FORM_R_EZ.TRI_FACILITY_ID,V_TRI_FORM_R_EZ.WATER_TOTAL_RELEASE
25,1987,1,24.2,Chromium Compounds(Except Chromite Ore Mined In The Transvaal Region),0,TOWANDA,1782,0,0,,GLOBAL TUNGSTEN & POWDERS CORP,0,NA,1,,,0,5,,,0,41.786389,-76.445278,AKRON,HATFIELD,BELVIDERE,,5,,1,Reported,N090,18848GTPRDHAWES,0.009
30,1987,1,1140.2,Styrene,0,TELFORD,0,0,0,,MET-PRO TECHNOLOGIES DBA FYBROC UNIT,0,NA,0,,,0,0,,,0,40.33432,-75.32323,,,,,0,,1,Reported,100425,18969FYBRC700EM,0
25,1987,1,0,Copper,0,WARREN,0,0,0,,OSRAM SYLVANIA INC,0,NA,0,,,0,0,,,0,41.835556,-79.131667,DES PLAINES,,,,0,,1,Reported,7440508,16365GTPRD816LE,0
30,1987,1,5,Nickel,0,ERIE,250,0,0,,PARKER AUTOCLAVE ENGINEERS / INSTRUMENT PRODUCTS DIV,0,NA,1,,,0,0,,,0,42.03794,-80.07958,ERIE,,,,0,,1,Reported,7440020,16509SNPTT8355H,0
30,1987,1,52.32,Chromium,0,BRIDGEVILLE,0,0,0,,CARPENTER POWDER PRODUCTS INC,0,NA,0,,,0,0,,,0,40.36682,-80.09976,ELLWOOD CITY,,,,0,,1,Reported,7440473,15017DYNMT600MA,0
17400,1987,1,21,Copper compounds,0,NEW FLORENCE,0,0,0,,SEWARD POWER PLANT,0,NA,0,,,0,0,,,0,40.405644,-79.033262,,,,,0,,1,Reported,N100,15944SWRDS595PL,1
8,1987,1,33863,Benzene,0,TRAINER,0.6,0,0,,MONROE ENERGY LLC-TRAINER REFINERY,0,NA,1,,,0,0,,,0,39.829311,-75.401169,EL DORADO,CORUNNA,MCALESTER,,0,,1,Reported,71432,19061BPLCMPOSTR,1
30,1987,1,0,Copper,0,NEW CASTLE,0,0,0,,FERGUSON PERFORATING CO  INC,0,NA,0,,,0,0,,,0,40.99468,-80.2827,,,,,0,,,Reported,7440508,16101FRGSN2165C,0
50,1987,1,0,Copper,0,GROVE CITY,97,0,0,,GE TRANSPORTATION GROVE CITY UX PLANT,0,NA,1,,,0,0,,,0,41.16952,-80.066197,EVANS CITY,INDIANAPOLIS,,,0,,1,Reported,7440508,1612WGTRNS66BAR,0
50,1987,1,2832.4,Methanol,0,READING,0,0,0,,BRENNTAG NORTHEAST - SNYDER ROAD,0,NA,0,,,0,0,,,0,40.429586,-75.932825,GRAFTON,,,,0,,1,Reported,67561,1960WBRNNT619SB,0
18550,1987,1,24527,Hydrogen cyanide,0,CLAIRTON,0,0,0,,USS-CLAIRTON PLANT,0,NA,0,,,0,0,,,0,40.305088,-79.876911,,,,,0,,1,Reported,74908,15025SSCLR400ST,0
30,1987,1,164.47,Copper,0,LITITZ,0,0,0,,PRECISIONFORM INC,0,NA,0,,,0,0,,,0,40.11635,-76.31175,HARRISBURG,PHILADELPHIA,TWINSBURG,,0,,1,Reported,7440508,17543PRCSN148WE,0
30,1987,1,145,Manganese compounds,0,NATRONA HEIGHTS,0,0,0,,HARSCO METALS - NATRONA,0,NA,0,,,0,0,,,0,40.61659,-79.72219,,,,,0,,1,Reported,N450,15065HCKTTFEDER,0
18531,1987,1,0,Chromium,0,DANBORO,0,0,0,,PENNENGINEERING,0,NA,0,,,0,0,,,0,40.363721,-75.138942,YORK,,,,0,,1,Reported,7440473,18916PNNNG5190O,0
17466,1995,1,203.1,n-Hexane,1,GLEN ROCK,0,0,0,,BIMAX INC,0,NA,0,,,0,0,,,0,39.818601,-76.6872,,,,,0,,1,Reported,110543,17327PMXNC158IN,0
30,1987,1,0,Copper,0,WEST CHESTER,4,0,0,,LENAPE FORGED PRODUCTS INC,0,NA,0,,,0,0,,,0,39.91308,-75.63117,PHILADELPHIA,PHILADELPHIA,,,0,,1,Reported,7440508,19382LNPFR1280L,0
18550,1987,1,170682,Hydrochloric acid (acid aerosols including mists  vapors  gas  fog  and other airborne forms of any particle size),0,CLAIRTON,0,0,0,,USS-CLAIRTON PLANT,0,NA,0,,,0,0,,,0,40.305088,-79.876911,,,,,0,,1,Reported,7647010,15025SSCLR400ST,0
200,1987,1,1,Nickel  And Nickel Compounds,0,COLUMBIA,0,0,0,,SA ALLOYS,0,NA,0,,,0,0,,,0,40.033805,-76.507717,LEWISBERRY,,,,0,,1,Reported,N495,17512CLNLM2NDLI,0
17400,1987,1,1575,Barium compounds (except for barium sulfate (CAS No. 7727-43-7)),0,HOMER CITY,0,0,0,,HOMER CITY GENERATION LP,0,NA,0,,,0,33087,,,0,40.511254,-79.194364,,,,,0,M2,0,Reported,N040,15748MHMRC1750P,547
10,1987,1,1,Acrylic acid,0,BRISTOL,0,0,0,,ROHM & HAAS CHEMICALS LLC,0,NA,0,,,0,0,,,0,40.09384,-74.87413,SOUTH PLAINFIELD,,,,0,,1,Reported,79107,19007RHMNDOLDRT,5
100,1987,1,965,Molybdenum trioxide,0,READING,216,0,0,,CARPENTER TECHNOLOGY CORP,0,NA,0,,,0,0,,,0,40.361105,-75.936838,MORGANTOWN,,,,0,,1,Reported,1313275,19612CRPNT101WB,0
30,1995,1,82.3,Polycyclic aromatic compounds,0,PUNXSUTAWNEY,720,0,0,,NAC CARBON PRODUCTS INC,0,NA,0,,,0,0,,,0,40.9547,-78.96447,KERSEY,,,,0,,1,Reported,N590,15767NCCRBELKRU,0
31,1987,1,288.8,Chromium compounds (except for chromite ore mined in the Transvaal Region),0,ELLWOOD CITY,4115,0,0,,INTERNATIONAL METALS RECLAMATION CO LLC INMETCO,0,NA,1,,,0,0,,,0,40.859451,-80.258591,CHICAGO,,,,0,,1,Reported,N090,16117NTRNTSR488,176
18600,2000,1,30,Vanadium compounds,0,DANVILLE,0,0,0,,MONTOUR STEAM ELECTRIC STATION,0,NA,0,,,0,618,,,0,41.069974,-76.665133,,,,,0,M2,0,Reported,N770,17821MNTRS18MCM,0
30,1987,1,2,Xylene (mixed isomers),0,WARREN,0,0,0,,WEST PENN OIL CO INC130130,0,NA,0,,,0,0,,,0,41.91271,-79.15019,WARREN,,,,0,,1,Reported,1330207,16365WSTPN1425M,0
8,1987,1,264,Certain glycol ethers,0,FRANKLIN,3807,0,0,,BORCHERS AMERICAS INC,0,NA,0,,,0,0,,,0,41.412453,-79.797531,WARREN,WAYNESBURG,GAHANNA,,0,,1,Reported,N230,16323MNYCHTWOMI,0
30,1987,1,500,Nitric acid,1,NANTICOKE,0,0,0,,REILLY PLATING CO INC,0,NA,0,,,0,0,,,0,41.19214,-76.01197,,,,,0,,1,Reported,7697372,18634RLLYP130AL,0
10,1987,1,12834,Xylene (mixed isomers),1,MILLERSBURG,0,0,0,,MOUNTAIN RIDGE METALS LLC,0,NA,0,,,0,0,,,0,40.541667,-76.916111,LEWISBERRY,,,,0,,1,Reported,1330207,17061MMTLSRT209,0
18600,1987,1,347,Aluminum (fume or dust),0,STOCKERTOWN,0,0,0,,BUZZI UNICEM STOCKERTOWN PLANT,0,NA,0,,,0,0,,,0,40.75037,-75.27114,WIN GAP,,,,0,,1,Reported,7429905,18083HRCLS501CE,0
30,1987,1,0,Manganese,0,POTTSTOWN,8268,0,0,,DANA DRIVESHAFT PRODUCTS LLC,0,NA,0,,,0,0,,,0,40.24181,-75.62816,TOLEDO,,,,0,,1,Reported,7439965,19464DNCRP125SK,0
100,1987,1,1125,Xylene (mixed isomers),0,MONESSEN,0,0,0,,CLEVELAND-CLIFFS MONESSEN COKE LLC,0,NA,0,,,0,0,,,0,40.1632,-79.8861,,,,,0,,1,Reported,1330207,15062MNSSN345DO,0
50,1987,1,0,Copper,0,RIDGWAY,0,0,0,,ST MARYS PRESSED METALS INC,0,NA,0,,,0,0,,,0,41.42886,-78.73345,,,,,0,,1,Reported,7440508,15853STMRY2BARK,0
50,1995,1,42,2-Mercaptobenzothiazole,0,HAZLETON,0,0,0,,DOBER GROUP,0,NA,0,,,0,0,,,0,40.928107,-76.050436,,,,,0,,1,Reported,149304,1820WDBRGR543FR,0
50,1987,1,0,Certain glycol ethers,0,CHAMBERSBURG,0,0,0,,ALEX C FERGUSSON LLC,0,NA,0,,,0,0,,,0,40.005923,-77.649156,LEWISBERRY,,,,0,,1,Reported,N230,17201LXCFR8DEVE,0
50,1987,1,0,Manganese,0,CHESWICK,0,0,0,,GLEN-GERY CORP - PITTSBURGH PLANT,0,NA,0,,,0,0,,,0,40.559779,-79.840228,,,,,0,,,Reported,7439965,15024RDLND230RI,0
30,1987,1,138,Manganese,0,TREMONT,0,0,0,,DAYTON SUPERIOR CORP,0,NA,0,,,0,126,,,0,40.63062,-76.39079,TEMPLE,,,,0,C ,0,Reported,7439965,17981DYTNS55NPI,0
50,1987,1,0,Chromium,0,HOMESTEAD,0,0,0,,WHEMCO-STEEL CASTINGS INC,0,NA,0,,,0,0,,,0,40.39911,-79.92189,,,,,0,,,Reported,7440473,15120WSTHMWESTS,0
17400,2000,1,174.3,Vanadium compounds,0,NEW FLORENCE,0,0,0,,CONEMAUGH GENERATING STATION,0,NA,0,,,0,96507,,,0,40.3842,-79.0611,,,,,0,O ,0,Reported,N770,15944CNMGHRTE20,0
30,1987,1,5,Chromium Compounds(Except Chromite Ore Mined In The Transvaal Region),0,DOWNINGTOWN,0,0,0,,JOHNSON MATTHEY INC DOWNINGTOWN SITE,0,NA,1,,,0,0,,,0,40.00633,-75.69154,EL DORADO,,,,0,,1,Reported,N090,19335JHNSN498AC,0
35900,1987,1,0,Lead compounds,0,EAST TEXAS,0,0,0,,SMOOTH-ON INC,0,NA,0,,,0,0,,,0,40.55001,-75.56665,EAST CHICAGO,,,,0,,1,Reported,N420,18046DYTMR1WILL,0
10,1995,1,10,Pendimethalin,0,LEBANON,0,0,0,,LEBANON SEABOARD CORP,0,NA,0,,,0,0,,,0,40.3475,-76.385556,,,,,0,,1,Reported,40487421,17042LBNNC1600E,0
17466,1987,1,0,Chromium,0,LAWRENCEVILLE,0,0,0,,WARD MANUFACTURING LLC WAR DFLEX DIV,0,NA,0,,,0,0,,,0,41.964167,-77.106944,ELMIRA,,,,0,,1,Reported,7440473,16929WRDMFRTE15,0
30,1987,1,1.73,Cobalt,0,BRIDGEVILLE,0,0,0,,CARPENTER POWDER PRODUCTS INC,0,NA,0,,,0,0,,,0,40.36682,-80.09976,ELLWOOD CITY,,,,0,,1,Reported,7440484,15017DYNMT600MA,0
50,1987,1,0,Zinc compounds,0,DENVER,0,0,0,,KALAS MANUFACTURING INC PLANT 2,0,NA,0,,,0,0,,,0,40.224581,-76.111932,CICERO,,,,0,,1,Reported,N982,17517KLSPLDENVE,0
30,1987,1,0.421,Lead  And Lead Compounds,0,WELLSVILLE,0,0,0,,PENNEX ALUMINUM CO,0,NA,0,,,0,0,,,0,40.0524,-76.93907,MILLWOOD,,,,0,,1,Reported,N420,17365PNNXL50COM,0
50,1987,1,0,Polychlorinated biphenyls,0,YORK,30.38,0,0,,ENVIRITE OF PENNSYLVANIA INC,0,NA,0,,,0,0,,,0,39.986769,-76.748829,SHIPPENSBURG,,,,0,,1,Reported,1336363,17404NVRTF730VO,0
6,1995,1,5845,Triethylamine,1,TYRONE,0,0,0,,ALBEMARLE CORP,0,NA,0,,,0,0,,,0,40.693119,-78.230157,BALTIMORE,,,,0,,1,Reported,121448,16686QLTYCINDUS,0
100,1987,1,1223,Manganese  And Manganese Compounds,0,READING,1475,0,0,,CARPENTER TECHNOLOGY CORP,0,NA,1,,,0,0,,,0,40.361105,-75.936838,MIDDLESEX,ELLWOOD CITY,,,0,,1,Reported,N450,19612CRPNT101WB,0
8,1987,1,0.25,Chromium,0,NEW CASTLE,110,0,0,,NORTH AMERICAN FORGEMASTERS,0,NA,0,,,0,0,,,0,40.991199,-80.352676,NEW CASTLE,IRVINE,LOWELLVILLE,,0,,1,Reported,7440473,16101NRTHM710MO,0
17400,1987,1,478,Phenol,0,MANNS CHOICE,0,0,0,,BEDFORD MATERIALS CO INC,0,NA,0,,,0,0,,,0,40.03977,-78.55947,LEWISBERRY,SUMTER,,,0,,1,Reported,108952,15522WSTNGRTS30,0
30,1987,1,900,Nitric acid,0,MOUNTAIN TOP,0,0,0,,FAIRCHILD SEMICONDUCTOR,0,NA,0,,,0,0,,,0,41.14168,-75.89399,BINGHAMTON,,,,0,,1,Reported,7697372,18707GSLDS125CR,0
30,1987,1,3.5,1 2 4-Trimethylbenzene,0,WARREN,0,0,0,,WEST PENN OIL CO INC130130,0,NA,0,,,0,0,,,0,41.91271,-79.15019,WARREN,,,,0,,1,Reported,95636,16365WSTPN1425M,0
50,1987,1,0,Nitric acid,0,CHAMBERSBURG,0,0,0,,ALEX C FERGUSSON LLC,0,NA,0,,,0,0,,,0,40.005923,-77.649156,LEWISBERRY,,,,0,,1,Reported,7697372,17201LXCFR8DEVE,0
30,1987,1,0,Manganese,0,CHESTER,0,0,0,,FISHER TANK CO,0,NA,0,,,0,0,,,0,39.83061,-75.39561,TRAINER,,,,0,,1,Reported,7439965,19013FSHRT3131W,0
25,1987,1,80,Acrylic acid,0,MONACA,0,0,0,,BASF CORP,0,NA,0,,,0,0,,,0,40.660554,-80.347521,WEST CARROLLTON,,,,0,,1,Reported,79107,15061PLYSR370FR,1
30,1987,1,8.14,Silver,0,SAINT MARYS,0,0,0,,CONTACT TECHNOLOGIES INC,0,NA,0,,,0,0,,,0,41.45429,-78.54081,CHICAGO,,,,0,,1,Reported,7440224,15857CNTCT229WC,0
30,1987,1,0,Cyclohexane,0,READING,0,0,0,,BRENNTAG NORTHEAST LLC,0,NA,0,,,0,0,,,0,40.41702,-75.93381,,,,,0,,,Reported,110827,19605TXTLCPOTTS,0
100,1987,1,241,Cobalt  And Cobalt Compounds,0,READING,55,0,0,,CARPENTER TECHNOLOGY CORP,0,NA,1,,,0,0,,,0,40.361105,-75.936838,ELLWOOD CITY,,,,0,,1,Reported,N096,19612CRPNT101WB,0
17430,1987,1,0.377338,Ethylene glycol,0,LEETSDALE,0,0,0,,THE LUBRIZOL CORP,0,NA,0,,,0,5.6,,,0,40.564,-80.2159,DARLINGTON,WEST CARROLLTON,,,5.6,,1,Reported,107211,15056CLRWTINDUS,0
30,1995,1,0,Propiconazole,0,PITTSBURGH,0,0,0,,LANXESS CORP NEVILLE ISLAND,0,NA,0,,,0,0,,,0,40.50787,-80.11171,,,,,0,,,Reported,60207901,1522WVRCHM3499G,0
50,1987,1,67.27,Manganese,0,MILTON,479.5,0,0,,ACF INDUSTRIES LLC,1,NA,0,,,0,0,,,0,41.023077,-76.852912,MONTGOMERY,,,,0,,1,Reported,7439965,17847CFNDS2NDAR,0
30,1987,1,0,Hydrochloric acid (acid aerosols including mists  vapors  gas  fog  and other airborne forms of any particle size),0,BANGOR,0,0,0,,BIOSPECTRA BANGOR FACILITY,0,NA,0,,,0,0,,,0,40.85614,-75.20147,,,,,0,,,Reported,7647010,1801WBSPCT1MAJE,0
50,1987,1,0.1132,Chromium,0,MORGANTOWN,0,0,0,,MORGAN TRUCK BODY LLC MORGANTOWN,0,NA,0,,,0,0,,,0,40.15588,-75.89344,NARVON,,,,0,,1,Reported,7440473,19543MRGNCONEMO,0
10,1987,1,9.22,Zinc compounds,0,SPRINGDALE,0,0,0,,PPG INDUSTRIESINC-SPRINGDALE COMPLEX,0,NA,0,,,0,0,,,0,40.536826,-79.785659,CIRCLEVILLE,NEW KENSINGTON,WEST CARROLLTON,,0,,1,Reported,N982,15144PPGND125CO,120.42
25,1987,1,40.211,Butyl acrylate,0,MONACA,0,0,0,,BVPV STYRENICS LLC,0,NA,0,,,0,0,,,0,40.655278,-80.356389,EAST LIVERPOOL,,,,0,,1,Reported,141322,15061RCCHMFRANK,0
20,1987,1,0,n-Butyl alcohol,0,CROYDON,0,0,0,,GEORGE S COYNE CHEMICAL CO INC,0,NA,0,,,0,0,,,0,40.096871,-74.878089,,,,,0,,,Reported,71363,19021GRGSC3015S,0
50,1987,1,0,Chromium,0,CHESWICK,0,0,0,,CURTISS WRIGHT ELECTRO MECH CORP,0,NA,0,,,0,0,,,0,40.55104,-79.80933,,,,,0,,,Reported,7440473,1502WCRTSS1WRIG,0
100,1987,1,5944,Benzene,0,MONESSEN,0,0,0,,CLEVELAND-CLIFFS MONESSEN COKE LLC,0,NA,0,,,0,0,,,0,40.1632,-79.8861,GRAFTON,,,,0,,1,Reported,71432,15062MNSSN345DO,2
30,1987,1,14.12,Chromium,0,OIL CITY,0,0,137,,WEBCO INDUSTRIES INC OIL CITY TUBE DIV,0,NA,0,,,0,0,,,0,41.43817,-79.70921,TITUSVILLE,OIL CITY,GROVE CITY,,0,,1,Reported,7440473,1630WWBCND363SE,5
30,1987,1,4001,Zinc compounds,0,SAXONBURG,770,0,0,,DU-CO CERAMICS CO,0,NA,0,,,0,0,,,0,40.74863,-79.80918,EVANS CITY,,,,0,,1,Reported,N982,16056DCCRM155SR,0
30,1987,1,45.07,Manganese,0,AMBRIDGE,0,0,0,,O'NEAL MANUFACTURING SERVICES,0,NA,0,,,0,0,,,0,40.61808,-80.22641,PITTSBURGH,,,,0,,1,Reported,7439965,1500WNLSTL2975D,0
18550,1987,1,664,Manganese  And Manganese Compounds,0,BRACKENRIDGE,3745,0,0,,ATI FLAT ROLLED PRODUCTS HOLDINGS LLC,0,NA,0,,,0,0,,,0,40.6081,-79.7291,MONROEVILLE,ELLWOOD CITY,,,0,,1,Reported,N450,15014LLGHNRIVER,51
25,1987,1,170,Hydrogen fluoride,0,VANDERGRIFT,0,0,0,,ATI FLAT ROLLED PRODUCTS HOLDINGS LLC,0,NA,0,,,0,0,,,0,40.6,-79.567778,CANTON,,,,0,,1,Reported,7664393,15690SSVND130LI,0
5,1994,1,0,Formic acid,0,SPRING GROVE,0,0,0,,PIXELLE SPECIALTY SOLUTIONS LLC,0,NA,0,,,0,0,,,0,39.87159,-76.867315,,,,,0,,1,Reported,64186,17362PHGLT228SO,272
50,1987,1,0,Zinc compounds,0,MOUNTAIN TOP,0,0,0,,I2M INC,0,NA,0,,,0,0,,,0,41.128139,-75.891309,,,,,0,,,Reported,N982,18707DYNMTCREST,0
30,1987,1,10,Cobalt,0,REYNOLDSVILLE,0,0,0,,NIAGARA CUTTER PENNSYLVANIA INC,0,NA,0,,,0,0,,,0,41.09232,-78.89597,CLEARFIELD,DERRY,,,0,,1,Reported,7440484,15851NGRCTSOUTH,0
50,1987,1,584,Ethylene glycol,0,PHILADELPHIA,0,0,0,,INEOS COMPOSITES PHILADELPHIA PLANT,0,NA,0,,,0,0,,,0,39.909557,-75.130454,,,,,0,,1,Reported,107211,19148SHLND2801S,0
30,1987,1,0,Lead compounds,0,CONSHOHOCKEN,0,0,0,,HERAEUS PRECIOUS METALS NA CONSHOHOCKEN LLC,0,NA,1,,,0,0,,,0,40.06832,-75.32764,GRAFTON,CALVERT CITY,WARTBURG,,0,,1,Reported,N420,19428HRSNC24UNI,0
17466,1987,1,657.14,Toluene,0,WILLIAMSPORT,0,0,0,,LYCOMING ENGINES A DIV OF AVCO CORP,0,NA,0,,,0,0,,,0,41.244031,-77.041111,FLANDERS,,,,0,,1,Reported,108883,17701TXTRN652OL,0
35900,1987,1,0,Barium compounds (except for barium sulfate (CAS No. 7727-43-7)),0,BIGLER,0,0,0,,GLEN-GERY CORP BIGLER PLANT,1,NA,0,,,0,0,,,0,40.98099,-78.31018,,,,,0,,,Reported,N040,16825GLNGRBOX33,0
30,1987,1,0,Chromium,0,PINE GROVE,0,0,0,,MOEN OF PA,0,NA,0,,,0,0,,,0,40.53534,-76.38817,,,,,0,,,Reported,7440473,17963STNDYROUTE,0
100,1987,1,24.14,Manganese  And Manganese Compounds,0,SUMMERVILLE,27380,0,0,,GLEN-GERY CORP,0,NA,0,,,0,0,,,0,41.1198,-79.1889,KERSEY,,,,0,,1,Reported,N450,15864GLNGRRT28X,0
30,1987,1,1.3,Aluminum (fume or dust),0,LANGELOTH,0,0,0,,LANGELOTH METALLURGICAL CO,0,NA,0,,,0,0,,,0,40.36482,-80.40214,,,,,0,,1,Reported,7429905,15054CLMXMMAINS,0
30,1987,1,5,Cobalt,0,WHEATLAND,0,0,0,,CRONIMET SPECIALTY METALS USA INC,0,NA,0,,,0,0,,,0,41.1965,-80.49227,LOWELLVILLE,,,,0,,1,Reported,7440484,1616WPMKLC4CUNC,5
10,1995,1,990,n-Hexane,0,CORAOPOLIS,0,0,0,,CORAOPOLIS TERMINALS - DE LLC/CORAOPOLIS TERMINAL,0,NA,0,,,0,0,,,0,40.525101,-80.175696,ASHTABULA,,,,0,,1,Reported,110543,15108PTTSB9THRN,39
30,1987,1,1019,Propylene,0,HARRISBURG,0,0,0,,AIRGAS USA LLC,0,NA,0,,,0,0,,,0,40.2545,-76.84298,,,,,0,,1,Reported,115071,17111RGSST2635S,0
30,1987,1,0,Copper compounds,0,YORK,0,0,0,,IWM - WIRE FACILITY,0,NA,0,,,0,0,,,0,39.97766,-76.72303,YORK,,,,0,,1,Reported,N100,17405NWYRK829LO,0
50,1987,1,954.8,Manganese compounds,0,MARIETTA,113494.9,0,0,,ARMSTRONG WORLD INDUSTRIES,0,NA,0,,,0,0,,,0,40.0586,-76.58845,LANCASTER,,,,0,,1,Reported,N450,17547RMSTRROUTE,26
30,1987,1,0.09,Lead compounds,0,NATRONA HEIGHTS,0,0,0,,HARSCO METALS - NATRONA,0,NA,0,,,0,0,,,0,40.61659,-79.72219,,,,,0,,1,Reported,N420,15065HCKTTFEDER,0
30,1987,1,1804,Toluene,0,YORK,0,0,0,,YORK CASKET CO,0,NA,0,,,0,0,,,0,40.00815,-76.71572,EAST CHICAGO,,,,0,,1,Reported,108883,17402YRKCS2880B,0
8,1987,1,20,Carbonyl sulfide,0,TRAINER,0,0,0,,MONROE ENERGY LLC-TRAINER REFINERY,0,NA,0,,,0,0,,,0,39.829311,-75.401169,,,,,0,,1,Reported,463581,19061BPLCMPOSTR,0
10,1987,1,2428.06,Nitric acid,0,TRAPPE,0,0,0,,VIANT COLLEGEVILLE LLC,0,NA,0,,,0,0,,,0,40.1948,-75.48483,,,,,0,,1,Reported,7697372,19426NFRMT200WE,0
50,1987,1,0,Ethylbenzene,0,EDDYSTONE,0,0,0,,EDDYSTONE GENERATING STATION,0,NA,0,,,0,0,,,0,39.8588,-75.3236,,,,,0,,,Reported,100414,19022DDYSTNO1IN,0
30,1987,1,0,Lead compounds,0,REEDSVILLE,307.81,0,0,,PHILIPS ULTRASOUND INC,0,NA,0,,,0,0,,,0,40.70035,-77.59396,FRANKLIN PARK,LANCASTER,CINCINNATI,,0,,1,Reported,N420,17084PHLPS1ECHO,0
50,1987,1,0,Copper  And Copper Compounds,0,LANCASTER,0,0,0,,LSC COMMUNICATIONS / LANCASTER EAST,0,NA,0,,,0,0,,,0,40.04903,-76.26023,POTTSVILLE,,,,0,,1,Reported,N100,17601RRDNN216GR,0
100,1987,1,1128,Styrene,0,ROCHESTER,0,0,0,,SHERWIN-WILLIAMS CO,0,NA,0,,,0,0,,,0,40.7115,-80.2885,BAKERSTOWN,GRAFTON,,,0,,1,Reported,100425,15074THVLS372CL,0
30,1987,1,3.71,Lead compounds,0,SARVER,0,0,0,,HARSCO MINERALS OF PA LLC,0,NA,0,,,0,0,,,0,40.74341,-79.76589,,,,,0,,1,Reported,N420,16055RCMXF359NO,0
30,1987,1,0,Nickel,0,COATESVILLE,0,0,0,,NATHAN TROTTER & CO INC,0,NA,1,,,0,0,,,0,39.97611,-75.88771,,,,,0,,1,Reported,7440020,1932WSTWRT241ST,0
50,1987,1,0,Chromium,0,PHILIPSBURG,0,0,0,,LEE INDUSTRIES INC,0,NA,0,,,0,0,,,0,40.895235,-78.227225,ALTOONA,,,,0,,1,Reported,7440473,16866LNDST514WP,0
5,1987,1,5661,Chlorine,0,LANCASTER,0,0,0,,ARCONIC LANCASTER CORP,0,NA,0,,,0,0,,,0,40.063333,-76.320556,,,,,0,,1,Reported,7782505,17604LMXML1480M,0
50,1987,1,650,Ethylbenzene,1,BLOOMSBURG,0,0,0,,KAWNEER CO INC,0,NA,0,,,0,0,,,0,40.99685,-76.44275,SMITHFIELD,,,,0,,1,Reported,100414,17815KWNRC500E1,0
50,1987,1,0,Propylene,0,MECHANICSBURG,0,0,0,,NESTLE PURINA PETCARE CO,0,NA,0,,,0,0,,,0,40.223255,-77.000441,,,,,0,,,Reported,115071,17055RLSTN6509B,0
35900,1995,1,0,Diisocyanates,0,EAST TEXAS,0,0,0,,SMOOTH-ON INC,0,NA,0,,,0,0,,,0,40.55001,-75.56665,EAST CHICAGO,,,,0,,1,Reported,N120,18046DYTMR1WILL,0
30,1987,1,5,Manganese,0,ERIE,0,0,0,,AMERICAN TURNED PRODUCTS ERIE PLANT,0,NA,0,,,0,0,,,0,42.09311,-80.01351,ERIE,,,,0,,1,Reported,7439965,16509MRCNT1944W,0
100,1987,1,0,Cobalt compounds,0,HOLLSOPPLE,1.74,0,0,,NORTH AMERICAN HOGANAS,0,NA,0,,,0,0,,,0,40.192646,-78.933994,HOLLSOPPLE,,,,0,,1,Reported,N096,15935FRSTMRTE60,3.55
30,1995,1,0,Nitrate compounds (water dissociable; reportable only when in aqueous solution),0,WASHINGTON,0,0,0,,DYNAMET INC,0,NA,0,,,0,0,,,0,40.20657,-80.25107,,,,,0,,1,Reported,N511,15301DYNMT195MU,0
100,1987,1,78,Copper compounds,0,HOLLSOPPLE,876.44,0,0,,NORTH AMERICAN HOGANAS,0,NA,0,,,0,0,,,0,40.192646,-78.933994,HOLLSOPPLE,ST. MARY'S,NEW EAGLE,,0,,1,Reported,N100,15935FRSTMRTE60,6.55
